avg_vote,metascore,reviews_from_users,reviews_from_critics,tomatometer_rating,audience_rating,usa_gross_income,worlwide_gross_income
7.0,60.0,215.0,84.0,61,69.0, 57777778, 57777778
7.3,85.0,140.0,126.0,97,80.0, 93141149, 95126535
7.3,85.0,140.0,126.0,85,78.0, 93141149, 95126535
6.9,67.0,409.0,373.0,97,80.0, 201151353, 542351353
6.9,67.0,409.0,373.0,85,78.0, 201151353, 542351353
6.4,53.0,768.0,466.0,81,78.0, 334191110, 1025467110
6.4,53.0,768.0,466.0,33,62.0, 334191110, 1025467110
6.4,53.0,768.0,466.0,51,55.0, 334191110, 1025467110
6.4,53.0,768.0,466.0,67,58.0, 334191110, 1025467110
6.4,69.0,126.0,248.0,98,56.0, 15861566, 16779212
6.4,69.0,126.0,248.0,72,71.0, 15861566, 16779212
7.6,57.0,667.0,423.0,69,77.0, 209028679, 524028679
6.7,57.0,105.0,39.0,71,71.0, 10853418, 10853418
7.7,76.0,425.0,92.0,95,88.0, 75505856, 75505856
7.7,,258.0,88.0,91,80.0, 4708156, 4770222
7.7,,258.0,88.0,95,90.0, 4708156, 4770222
7.7,,258.0,88.0,57,46.0, 4708156, 4770222
7.7,,258.0,88.0,71,, 4708156, 4770222
7.7,,258.0,88.0,74,59.0, 4708156, 4770222
5.9,70.0,169.0,91.0,91,80.0, 1577287, 2046433
5.9,70.0,169.0,91.0,95,90.0, 1577287, 2046433
5.9,70.0,169.0,91.0,57,46.0, 1577287, 2046433
5.9,70.0,169.0,91.0,71,, 1577287, 2046433
5.9,70.0,169.0,91.0,74,59.0, 1577287, 2046433
6.1,45.0,142.0,87.0,100,95.0, 69691949, 110317580
6.1,45.0,142.0,87.0,49,49.0, 69691949, 110317580
6.1,45.0,142.0,87.0,45,48.0, 69691949, 110317580
5.9,51.0,80.0,34.0,100,95.0, 1508593, 1567501
5.9,51.0,80.0,34.0,49,49.0, 1508593, 1567501
5.9,51.0,80.0,34.0,45,48.0, 1508593, 1567501
